"MasterFundCode","FullName","InceptionDate","Category"
"000367","国泰安康定期支付混合型证券投资基金","2014-04-30","混合型基金"
"000368","汇添富沪深300安中动态策略指数型证券投资基金","2013-11-06","股票型基金"
"000369","广发全球医疗保健指数证券投资基金","2013-12-10","股票型基金"
"000371","民生加银现金宝货币市场基金","2013-10-18","货币型基金"
"000372","中银惠利纯债半年定期开放债券型证券投资基金","2013-11-07","债券型基金"
"000373","华安中证细分医药交易型开放式指数证券投资基金联接基金","2014-11-28","股票型基金"
"000377","上投摩根双债增利债券型证券投资基金","2013-12-11","债券型基金"
"000379","平安日增利货币市场基金","2013-12-03","货币型基金"
"000380","景顺长城景益货币市场基金","2013-11-26","货币型基金"
"000382","富国恒利分级债券型证券投资基金","2013-12-09","债券型基金"
"000385","景顺长城景颐双利债券型证券投资基金","2013-11-14","债券型基金"
"000387","泰达宏利瑞利分级债券型证券投资基金","2013-11-14","债券型基金"
"000389","广发天天红发起式货币市场基金","2013-10-22","货币型基金"
"000390","华商优势行业灵活配置混合型证券投资基金","2013-12-11","混合型基金"
"000391","招商标普高收益红利贵族指数增强型证券投资基金","2013-12-11","股票型基金"
"000394","融通通源短融债券型证券投资基金","2013-12-31","债券型基金"
"000395","汇添富安心中国债券型证券投资基金","2013-11-22","债券型基金"
"000397","汇添富全额宝货币市场基金","2013-12-13","货币型基金"
"000398","华富恒鑫债券型证券投资基金","2013-12-18","债券型基金"
"000398","华富灵活配置混合型证券投资基金","2014-08-07","混合型基金"
"000400","中融增鑫一年定期开放债券型证券投资基金","2013-12-03","债券型基金"
"000402","工银瑞信纯债债券型证券投资基金","2014-05-16","债券型基金"
"000404","易方达新兴成长灵活配置混合型证券投资基金","2013-11-28","混合型基金"
"000405","信诚月月定期支付债券型证券投资基金","2013-12-30","债券型基金"
"000406","汇添富双利增强债券型证券投资基金","2013-12-03","债券型基金"
"000408","民生加银城镇化灵活配置混合型证券投资基金","2013-12-11","混合型基金"
"000409","鹏华环保产业股票型证券投资基金","2014-03-07","股票型基金"
"000410","益民服务领先灵活配置混合型证券投资基金","2013-12-13","混合型基金"
"000411","景顺长城优质成长股票型证券投资基金","2014-01-02","股票型基金"
"000412","国开泰富岁月鎏金定期开放信用债券型证券投资基金","2013-12-23","债券型基金"
"000414","嘉实绝对收益策略定期开放混合型发起式证券投资基金","2013-12-06","混合型基金"
"000415","摩根士丹利华鑫纯债稳定添利18个月定期开放债券型证券投资基金","2014-09-02","债券型基金"
"000417","国联安新精选灵活配置混合型证券投资基金","2014-03-04","混合型基金"
"000418","景顺长城成长之星股票型证券投资基金","2013-12-13","股票型基金"
"000419","摩根士丹利华鑫优质信价纯债债券型证券投资基金","2014-11-25","债券型基金"
"000421","华泰柏瑞丰汇债券型证券投资基金","2014-12-11","债券型基金"
"000423","前海开源事件驱动灵活配置混合型发起式证券投资基金","2013-12-19","混合型基金"
"000424","长盛添利宝货币市场基金","2013-12-09","货币型基金"
"000426","大成信用增利一年定期开放债券型证券投资基金","2014-01-28","债券型基金"
"000428","易方达聚盈分级债券型发起式证券投资基金","2013-11-14","债券型基金"
"000431","鹏华品牌传承灵活配置混合型证券投资基金","2014-01-28","混合型基金"
"000432","中银优秀企业混合型证券投资基金","2014-01-28","混合型基金"
"000433","安信鑫发优选灵活配置混合型证券投资基金","2013-12-31","混合型基金"
"000434","新华壹诺宝货币市场基金","2013-12-03","货币型基金"
"000435","建信稳定添利债券型证券投资基金","2013-12-10","债券型基金"
"000436","易方达裕惠回报定期开放式混合型发起式证券投资基金","2013-12-17","混合型基金"
"000437","融通通启一年定期开放债券型证券投资基金","2014-08-29","债券型基金"
"000439","国金鑫盈货币市场证券投资基金","2013-12-16","货币型基金"
"000440","大成景祥分级债券型证券投资基金","2013-11-19","债券型基金"
"000452","南方医药保健灵活配置混合型证券投资基金","2014-01-23","混合型基金"
"000453","国金通用鑫利分级债券型证券投资基金","2014-01-21","债券型基金"
"000457","上投摩根核心成长股票型证券投资基金","2014-02-10","股票型基金"
"000458","英大领先回报混合型发起式证券投资基金","2014-03-05","混合型基金"
"000462","农银汇理主题轮动灵活配置混合型证券投资基金","2015-04-10","混合型基金"
"000463","华商双债丰利债券型证券投资基金","2014-01-28","债券型基金"
